Player,Matches,Not Out,Runs,High Score,Average,Balls Faced,Strike Rate,100,50,4s,6s
KL Rahul,9,1,274,74,34.25,242,113.22,0,2,28,4
Manon Vohra,1,0,10,10,10,11,90.91,0,0,1,0
Quinton de Kock,4,0,143,70,35.75,102,140.2,0,1,10,8
Nicholas Pooran,62,12,1270,77,27.02,810,156.79,0,6,78,91
Ayush Badoni,15,2,238,59,23.8,172,138.37,0,1,13,12
Deepak Hooda,12,1,84,17,7.64,90,93.33,0,0,3,2
Krishnappa Gowtham,7,3,61,23,15.25,37,164.86,0,0,2,5
Karan Sharma,2,0,12,9,6,21,57.14,0,0,0,0
Krunal Pandya,15,4,188,49,18.8,165,113.94,0,0,15,6
Kyle Mayers,13,0,379,73,29.15,263,144.11,0,4,38,22
Marcus Stoinis,15,2,408,89,31.38,272,150,0,3,28,27
Romairo Shepherd,1,0,0,0,0,1,0,0,0,0,0
Prerak Mankad,5,2,93,64,31,72,129.17,0,1,12,2
Yudhvir Singh Charak,3,0,1,1,0.5,2,50,0,0,0,0