Player,Matches,Overs,Runs,Wickets,BBI,Average,Economy,SR,4W,5W
Ravi Bishnoi,15,50.3,391,16,28/3,24.43,7.74,18.93,0,0
Yash Thakur,9,31.5,289,13,37/4,22.23,9.07,14.69,1,0
Naveen-ul-Haq,8,28,219,11,38/4,19.9,7.82,15.27,1,0
Mark Wood,4,16,130,11,14/5,11.81,8.12,8.72,0,1
Krunal Pandya,15,42,313,9,18/3,34.77,7.45,28,0,0
Avesh Khan,9,29,283,8,25/3,35.37,9.75,21.75,0,0
Amit Mishra,7,19,149,7,21/2,21.28,7.84,16.28,0,0
Marcus Stoinis,15,10.5,100,5,20/2,20,9.23,13,0,0
Krishnappa Gowtham,7,16,118,3,10/1,39.33,7.37,32,0,0
Mohsin Khan,5,10,107,3,24/1,35.66,10.7,20,0,0