Player,Matches,Not Out,Runs,High Score,Average,Balls faced,Strike Rate,100,50,4s,6s
Rohit Sharma,16,0,332,65,20.75,250,132.8,0,2,552,257
Dewald Brevis,7,0,161,49,23,113,142.48,0,0,14,11
Suryakumar Yadav,16,2,605,103,43.21,334,181.14,1,5,65,28
Ishan Kishan,16,0,454,75,30.27,0,142.77,0,3,54,18
N Tilak Varma,11,3,343,84,42.88,209,164.11,0,1,26,23
Tim David,16,6,231,25.67,146,158.22,0,0,0,12,15
Tristan Stubbs,2,0,25,20,12.5,31,80.65,0,0,2,0
Vishnu Vinod,3,0,37,30,12.33,31,119.35,0,0,2,2
Arjun Tendulkar,4,0,13,13,13,9,144.44,0,0,0,1
Jofra Archer,5,2,4,3,0.8,4,100,0,0,0,0
Mohd. Arshad Khan,6,1,18,15,9,15,120,0,0,0,1
Cameron Green,16,7,452,100,50.22,282,160.28,1,2,40,22
Nehal Wadhera,14,1,241,64,26.78,166,145.18,0,2,23,12