Player,Matches,Not Out ,Runs,Highest score,Average ,Balls Faced,Strike Rate,100,50,4s,6s
Faf du Plessis,14,1,730,84,56.15,475,153.68,0,8,60,34
Virat Kohli,14,2,639,101,53.25,457,139.82,2,6,65,16
Anuj Rawat,9,4,91,29,30.33,71,128.17,0,0,6,4
Dinesh Karthik,13,1,140,30,11.67,104,134.62,0,0,13,5
Suyash S Prabhudessai,5,0,35,19,8.75,29,120.69,0,0,7,2
David Willey,4,3,35,20,8.75,32,109.38,0,0,4,0
Glenn Maxwell,14,2,400,77,33.33,218,183.49,0,5,29,31
Mahipal Lomror,12,2,135,54,16.88,97,139.18,0,1,9,8
Wanindu Hasaranga,8,3,33,12,16.5,28,117.86,0,0,3,0
Karn Sharma,7,0,3,2,1.5,5,60,0,0,0,0
Kedar Jhadav ,2,1,12,12,6,10,120,0,0,1,0